"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"M&amp;M","EQ","05-May-2020","        357.05","        363.75","        381.80","        361.45","        368.50","        368.15","        372.43","   13401811","          4991201668.30","     182937"
"M&amp;M","EQ","06-May-2020","        368.15","        371.50","        393.00","        358.25","        388.00","        387.15","        376.58","    7015474","          2641893581.40","     148753"
"M&amp;M","EQ","07-May-2020","        387.15","        387.50","        403.45","        385.10","        401.40","        400.65","        396.10","   12971502","          5138017281.05","     190114"
"M&amp;M","EQ","08-May-2020","        400.65","        405.00","        407.90","        380.70","        386.00","        386.70","        390.69","    9445656","          3690306611.35","     127252"
"M&amp;M","EQ","11-May-2020","        386.70","        388.50","        402.00","        384.35","        387.90","        390.10","        393.43","    7658641","          3013125423.00","     161111"
"M&amp;M","EQ","12-May-2020","        390.10","        388.90","        395.20","        380.20","        394.25","        393.05","        386.43","    4686856","          1811143796.15","      88743"
"M&amp;M","EQ","13-May-2020","        393.05","        415.00","        418.90","        404.25","        410.00","        413.05","        411.46","    7362761","          3029507381.15","     137227"
"M&amp;M","EQ","14-May-2020","        413.05","        401.50","        407.50","        396.00","        402.50","        400.45","        400.92","    4766174","          1910842733.30","      79776"
"M&amp;M","EQ","15-May-2020","        400.45","        402.75","        403.95","        373.20","        381.85","        381.30","        382.93","   14226558","          5447830513.70","     195610"
"M&amp;M","EQ","18-May-2020","        381.30","        382.10","        383.50","        367.25","        375.00","        377.20","        375.42","    7717690","          2897357368.20","      87264"
"M&amp;M","EQ","19-May-2020","        377.20","        384.00","        391.00","        371.20","        383.00","        382.90","        385.05","    5950063","          2291098502.30","      74801"
"M&amp;M","EQ","20-May-2020","        382.90","        382.90","        413.70","        379.70","        404.75","        405.05","        398.60","   10608571","          4228545729.25","     139807"
"M&amp;M","EQ","21-May-2020","        405.05","        400.15","        412.20","        397.80","        406.60","        408.30","        406.56","    6249310","          2540707186.15","      78139"
"M&amp;M","EQ","22-May-2020","        408.30","        404.00","        430.35","        398.70","        426.40","        426.35","        416.73","   10016213","          4174083371.80","     110726"
"M&amp;M","EQ","26-May-2020","        426.35","        427.00","        435.20","        421.65","        426.90","        429.15","        429.31","    5895379","          2530969865.90","      86808"
"M&amp;M","EQ","27-May-2020","        429.15","        426.50","        434.95","        415.00","        430.95","        432.50","        424.82","    7591378","          3224974944.90","     101268"
"M&amp;M","EQ","28-May-2020","        432.50","        429.50","        444.00","        423.85","        437.00","        440.40","        434.73","    7451065","          3239195825.85","     100254"
"M&amp;M","EQ","29-May-2020","        440.40","        434.00","        450.00","        431.10","        436.40","        436.35","        438.90","    9539037","          4186652314.00","     105176"
"M&amp;M","EQ","01-Jun-2020","        436.35","        441.85","        470.50","        441.50","        461.10","        461.10","        460.26","    9668052","          4449823429.00","     128606"
"M&amp;M","EQ","02-Jun-2020","        461.10","        465.10","        478.85","        460.85","        462.90","        462.85","        467.87","    8521141","          3986787838.85","     107017"
"M&amp;M","EQ","03-Jun-2020","        462.85","        470.00","        492.60","        466.50","        488.00","        485.10","        479.76","    9873439","          4736916366.35","     114030"
"M&amp;M","EQ","04-Jun-2020","        485.10","        485.30","        486.25","        469.40","        477.10","        478.45","        476.92","    5829515","          2780231253.50","      99539"
"M&amp;M","EQ","05-Jun-2020","        478.45","        479.00","        489.45","        475.40","        484.30","        484.20","        482.43","    6265849","          3022840032.35","      98856"
"M&amp;M","EQ","08-Jun-2020","        484.20","        485.50","        494.15","        468.25","        471.25","        470.85","        482.67","    5955229","          2874401795.65","      97007"
"M&amp;M","EQ","09-Jun-2020","        470.85","        473.80","        482.80","        463.30","        475.65","        478.75","        472.24","    7656758","          3615829533.80","     102350"
"M&amp;M","EQ","10-Jun-2020","        478.75","        476.15","        483.70","        468.85","        474.90","        472.05","        475.95","    4849036","          2307914711.80","     101470"
"M&amp;M","EQ","11-Jun-2020","        472.05","        472.00","        480.00","        469.50","        473.50","        474.55","        475.92","    4331785","          2061573055.60","      73370"
"M&amp;M","EQ","12-Jun-2020","        474.55","        457.00","        512.90","        456.10","        510.45","        508.45","        484.85","   18369324","          8906304693.70","     207214"
"M&amp;M","EQ","15-Jun-2020","        508.45","        505.15","        520.95","        498.70","        510.00","        508.15","        512.48","   17605886","          9022639157.85","     214315"
"M&amp;M","EQ","16-Jun-2020","        508.15","        517.10","        519.00","        501.30","        506.00","        506.75","        511.35","    6712936","          3432674488.55","      99188"
